Категория;Тип товара;Модель;Габариты;Цвет;Материал;Особенности;Стиль/Назначение;Цена (₽)
Спальня;Комод;Барселона;90×40×100 см;чёрный матовый/латунь;ЛДСП/металл;3-ящичный, с дверцей;-;34800
Текстиль;Подушка декоративная;Иней;50×50 см;серебряный;искусственный мех;-;-;1700
Спальня;Кровать;Стокгольм;160×200 см;-;массив берёзы;каркасная;скандинавский;46700
Кабинет;Стол компьютерный;Лофт;140×120 см;графит;ЛДСП/металл;угловой, металлокаркас;лофт;18900
Декор;Гобелен настенный;Тоскана;80×120 см;-;ткань/дерево;флористика, багет узкий;-;5400
Гостиная;Шкаф-витрина;Меран;110×40×210 см;орех/золото;дерево/стекло;с витринным стеклом;классика;52800
Гостиная;Сервант;Луара;120×45×180 см;орех/патина;дерево/стекло/LED;классика, подсветка LED;классика;43900
Кухня;Модуль кухонный;Палермо-Lux;60×60×90 см;графит/дуб артизан;ЛДСП/МДФ;с встраиваемой духовкой;-;42500
Кабинет;Стол письменный;-;60×40×60 см;серый;ЛДСП/велюр;эргономический;-;17400
Гостиная;Диван-кровать;Венский;200×90 см;пыльно-розовая;рогожка/ЛДСП;клик-кляк;-;42700
Гостиная;Журнальный столик;Орбита;D70 см;-;мрамор каррара/латунь;мраморный, круглый;-;28700
Ванная;Тумба под умывальник;Капри;60×45×55 см;-;бамбук/металл;эко-стиль;-;13800
Гостиная;Кресло Lounge;Капри;-;бирюзовая;ротанг/ткань;из ротанга, с подушкой;-;19800
Гостиная;Диван угловой;Луара;280×170 см;серая;рогожка/ЛДСП;еврокнижка, ниша для белья;-;58900
Декор;Картина;Северянин;50×70 см;-;холст/дерево;Морошка, масло, натуральный багет;-;4700
Детская;Шкаф;Феникс;-;мятный/белый;ЛДСП;для игрушек, 3-секционный, открытые полки;детский;15700
Освещение;Гирлянда LED;-;3 м;тёплый белый;LED/медь;батарейная, медный провод;-;800
Прихожая;Зеркало напольное;Камея;55×170 см;бронза с патиной;металл/стекло;в раме барокко;классика;15800
Спальня;Шкаф;Версаль;200×60×240 см;белый/золото;ЛДСП/МДФ;4-створчатый;классика;94700
Кухня;Стул банкетный;Наполеон;-;серебро;поликарбонат;прозрачный, для свадеб;-;2900
Спальня;Кровать водяная;Лазурь;180×200 см;белая;экокожа/ЛДСП;раздельное управление сторон;премиум;102800
Ванная;Шкаф навесной;Лазурь;30×25×70 см;дуб артизан;ЛДСП/зеркало;одностворчатый, с зеркалом;-;5700
Декор;Ваза декоративная;Венеция;45 см;прозрачное/золото;стекло;с золотой росписью;-;3800
Освещение;Лампа настольная;Берлин;-;белая;пластик/LED;сенсорная LED;-;2900
Кабинет;Стол письменный;Берлин;130×60 см;белый/дуб сонома;ЛДСП;с тумбой и 3 ящиками;-;15600
Спальня;Кровать;Дрезден;140×200 см;графит;велюр/ЛДСП;с мягким изголовьем;-;31500
Спальня;Кровать;Сириус;120×200 см;серый;велюр/ЛДСП;полутораспальная, с ящиками;-;26700
Декор;Статуэтка;Журавль;50 см;бронзовая патина;металл;набор 2 шт, дизайнерская;-;6700
Спальня;Туалетный столик;Камелия;70×35×130 см;белый/розовое золото;МДФ/стекло;серия мини, с зеркалом;-;17900
Детская;Кровать-чердак;Сириус;90×200 см;серый/голубой;ЛДСП/металл;с диваном и столом;детский;42900
Гостиная;Шкаф-горка;Лион;320×45×200 см;орех итальянский;дерево/стекло;с витринным стеклом;-;58900
Гостиная;Шкаф книжный;Бельгия;180×35×220 см;орех итальянский;дерево;открытый, без дверей;-;52400
Спальня;Шкаф угловой;Прованс;100×100×220 см;белый с патиной;ЛДСП/МДФ;классика;классика;42800
Гостиная;Кресло-мешок;Облако;100×80 см;бежевая;водоотталкивающая ткань;L;-;3700
Кабинет;Кресло компьютерное;Бергамо;-;красная;сетка/металл;поясничный упор, газлифт класс 4;-;14900
Гостиная;Кресло Lounge;Палермо;-;горчичный;велюр/дерево;с пуфом, ножки массив;-;31700
Гостиная;Кресло-качалка;Прованс;-;белая патина;массив бука;классика;классика;22800
Кухня;Стол фуршетный;-;180×80×110 см;белая;металл/ткань;складной, для свадеб и банкетов;-;6700
Гостиная;Кресло-реклайнер;Палермо;-;кофейный;кожа PU/металл;Lounge, поворотное, ручной;-;39800
Текстиль;Покрывало;-;240×260 см;шоколадный/золото;велюр;евро, с золотой строчкой;-;8700
Декор;Часы настольные;Тоскана;25×15×30 см;-;дерево/металл;с маятником;-;3800
Ванная;Тумба под умывальник;Аква;60×45×60 см;белый глянец;МДФ;подвесная;-;13400
Гостиная;Журнальный столик;Меридиан;D90 см;-;бук бавария;круглый, из массива;классика;27800
Освещение;Торшер;Лофт;170 см;чёрный;металл/ткань;напольный, абажур цилиндр;лофт;7800
Спальня;Кровать;Аделина;160×200 см;орех/патина;дерево/ЛДСП;с тумбами в изголовье;классика;46800
Спальня;Шкаф;Милан;150×55×210 см;дуб сонома;ЛДСП;3-створчатый, распашной;-;33700
Гостиная;Диван-канапе;Стокгольм;2-местный;молочная;рогожка/бук;ножки бук;скандинавский;38700
Декор;Подставка под журналы;Флоренция;30×25×40 см;латунь;металл;винтаж;-;3200
Гостиная;Банкетка;Атриум;150×40×45 см;коричневая;экокожа/металл;ножки металл;-;9700
Кабинет;Кресло компьютерное;Бергамо;-;бежевая;сетка/металл;поясничный упор, газлифт класс 4;-;14900
Балкон;Скамья-сундук;Веранда;100×40×45 см;белый;ЛДСП;балконная, с хранением;-;7400
Прихожая;Вешалка-стойка;Лофт;-;чёрная;металл;напольная, металлическая;лофт;2700
Гостиная;Стеллаж стеновой;Сканди;180×30×210 см;ясень светлый;ЛДСП/дерево;8 ячеек;скандинавский;19800
Освещение;Люстра подвесная;Феникс;-;медь/янтарное;металл/стекло;5 ламп;-;13800
Гостиная;Банкетка;Версаль;200×40×50 см;золотистый;бархат/дерево;ножки резные;классика;22400
Детская;Стул-трансформер;Школьник;-;-;бук/ткань;детский растущий;детский;5400
Гостиная;Банкетка;Орхидея;170×40×45 см;пыльно-розовый;бархат/металл;ножки гнутые;-;13700
Гостиная;Диван-канапе;Аделаида;1.5-местный;фуксия;велюр/металл;ножки золото;классика;38900
Балкон;Стол-консоль;Терраса;70×35 см;белый матовый;ЛДСП/металл;откидной, настенный;-;3400
Спальня;Шкаф;Милан;150×55×210 см;ясень шимо тёмный;ЛДСП;3-створчатый, распашной;-;33700
Спальня;Шкаф-купе;Венский;180×60×220 см;дуб сонома;ЛДСП/зеркало;3 зеркала;-;47800
Декор;Ваза декоративная;Венеция;40 см;белый кракелюр/золото;керамика;амфора;классика;4200
Гостиная;Сервант;Лион;150×45×190 см;ясень шимо тёмный;ЛДСП/стекло;с подсветкой, стеклянные дверцы;-;46700
Кухня;Стол обеденный;Равенна;D120 см;капучино матовый;МДФ/металл;круглый, раздвижной;-;31900
Гостиная;Журнальный столик;Модерн;110×60 см;прозрачный/хром;стекло/металл;стеклянный;-;11400
Декор;Зеркало;Облако;90×70 см;неоновый розовый;МДФ/LED/стекло;art, рама с подсветкой LED;-;24800
Прихожая;Полка-консоль;Лофт;-;-;металл/дерево;для прихожей, с крючками;лофт;3900
Гостиная;Диван-кровать;Цюрих;240×110 см;оливковый;велюр/ЛДСП;трансформер, аккордеон;-;62800
Гостиная;Журнальная группа;Палермо;-;серый;мрамор/велюр;стол + 2 пуфа;-;24700
Ванная;Тумба под умывальник;Адриатика;60×45×55 см;белый глянец;МДФ/фурнитура;с подсветкой, soft-close;-;17800
Кухня;Стул обеденный;Кантри;-;натуральный;массив сосны/лак;с подлокотниками, лак;-;6700
Декор;Постер;Скандинавия;40×60 см;пастель;бумага/дерево;абстракция, в раме светлый дуб;скандинавский;1400
Спальня;Кровать водяная;Бриз;140×200 см;кофейный;экокожа/ЛДСП;полутораспальная, с подогревом;-;72400
Декор;Картина;Манхэттен;80×120 см;-;холст/дерево;Бруклинский мост, фактурный багет;-;7800
Спальня;Зеркало-трюмо;Аделина;90×45×170 см;белый/золото;МДФ/стекло/LED;с тумбой и подсветкой;-;31700
Прихожая;Зеркало напольное;Меран;60×180 см;-;шпон ореха/стекло;в раме шпон ореха;-;14700
Гостиная;Стеллаж;Лофт;80×35×170 см;-;металл/дуб;напольный, 5 уровней;лофт;7400
Кабинет;Шкаф книжный;Сканди;120×30×60 см;ясень светлый;ЛДСП/дерево;подвесной, на 3 уровня;скандинавский;8700
Текстиль;Покрывало;-;220×240 см;бордовый/золото;гобелен;с орнаментом, серия Стандарт;-;7200
Гостиная;Журнальный столик;Карерра;120×60 см;белый/латунь;мрамор/латунь;прямоугольный;-;42700
Гостиная;Сервант;Луара;140×45×185 см;орех;дерево/стекло;с подсветкой, стеклянные дверцы;классика;47200
Освещение;Лампа настольная;Прага;-;зелёный/бронза;металл/стекло;с зелёным стеклянным абажуром, библиотечная;классика;5700
Гостиная;Диван;Колумбия;240×100 см;белая;экокожа/металл;П-образный, реклайнер ручной;-;78400
Ванная;Корзина для белья;Лазурь;60×30×60 см;-;бамбук;2-секционная;-;4400
Гостиная;Диван прямой;Манчестер;220×95 см;серый меланж;шенилл/ЛДСП;еврокнижка;-;38700
Спальня;Кровать водяная;Лагуна;160×200 см;белая;экокожа/ЛДСП;одноконтурная, премиум;премиум;78400
Кухня;Стул банкетный;Кьявари;-;золотая отделка;бук/ткань;из бука с подушкой, торжественный;-;3700
Спальня;Кровать водяная;Морё;180×200 см;графит;экокожа/дерево;с подогревом, скандинавский каркас;скандинавский;88400
Ванная;Тумба под умывальник;Бергамо;80×45×55 см;белый матовый;МДФ;с двумя ящиками;-;17200
Кухня;Стол кухонный;Эконом;80×60 см;белый;ЛДСП/металл;металлические ножки;эконом;3700
Гостиная;Диван прямой;Дублин;200×90 см;зелёная;рогожка/ЛДСП;аккордеон;-;34200
Гостиная;Шкаф-горка;Палаццо;320×45×210 см;орех/золото;дерево/стекло;классика, с резьбой;классика;67400
Спальня;Зеркало-трюмо;Стокгольм;70×40×150 см;дуб артизан;ЛДСП/стекло;простое, с тумбой;скандинавский;19700
Гостиная;Журнальный столик;Палаццо;110×65 см;чёрный/золото;мрамор/металл;овальный;-;39400
Гостиная;Кресло-реклайнер;Капитан;-;кофейный;кожа PU/металл;электрическое, с массажем;-;67400
Кухня;Стул обеденный;Венеция;-;-;массив бука/ткань;из массива, мягкое сиденье;-;3400
Гостиная;Сервант;Палаццо;160×45×190 см;-;массив дуба/LED;с подсветкой LED;классика;72400
Гостиная;Стенка-горка;Стокгольм;280 см;дуб артизан/белый матовый;ЛДСП/стекло;модульная;скандинавский;44800
Детская;Туалетный столик;-;70×35×120 см;белый с цветочными ручками;ЛДСП/МДФ;детский;детский;13700
Детская;Кровать-чердак;Сириус;90×200 см;белый/серый;ЛДСП/металл;подростковая, со столом и шкафом;детский;39800
Спальня;Кровать;Аврора;140×200 см;пудровый;велюр/ЛДСП;мягкое изголовье капитоне;-;32400
Гостиная;Стеллаж модульный;Конструктор;200×30×220 см;белый;ЛДСП;стеновой, из 12 кубов;-;28400
Спальня;Шкаф;Эконом;80×52×200 см;дуб сонома;ЛДСП;2-створчатый;эконом;14200
Освещение;Бра;Аметист;-;-;хрусталь/латунь;2-рожковое, настенное;-;6800
Спальня;Шкаф;Милан;150×55×210 см;белый матовый;ЛДСП;3-створчатый, распашной;-;33700
Кухня;Стол обеденный;Равенна;D120 см;графит матовый;МДФ/металл;круглый, раздвижной;-;31900
Кухня;Винная стойка;Тоскана;60×15×40 см;дуб артизан;ЛДСП/дерево;настенная, на 8 бутылок;-;3400
Гостиная;Кресло;Лион;-;горчичный;велюр/дерево;классическое, каретная стяжка, ножки массив;классика;28700
Детская;Стол письменный;Малыш;-;розовый;ЛДСП/МДФ;детский, с пеналом и ящиками;детский;9800
Спальня;Тумбочка прикроватная;Бергамо;50×40×55 см;белый патина/золото;МДФ/дерево;классика;классика;7400
Кухня;Модуль верхний;Палермо;80×30×72 см;серый кашемир;ЛДСП/МДФ;угловой;-;7400
Гостиная;Кресло Lounge;Бергамо;-;пыльно-розовый;бархат/металл;с подушкой-валиком;-;26700
Спальня;Кровать водяная;Океания;180×200 см;графит;экокожа/ЛДСП;с системой памяти веса;премиум;112800
Кухня;Табурет барный;Эконом;-;дуб;ЛДСП;нерегулируемый;эконом;1900
Освещение;Бра;Полярная;-;белый матовый;металл/LED;LED, регулировка яркости, IP44;-;3400
Спальня;Туалетный столик;Ариэль;100×40×140 см;белый глянец;МДФ/стекло/LED;с зеркалом и подсветкой LED;-;22800
Гостиная;Кресло акцентное;Кокон;-;горчичный;велюр/металл;-;-;14900
Декор;Подставка для цветов;Тоскана;80 см;бежевая;ротанг;из ротанга, 3 уровня;-;4400
Ванная;Тумба под умывальник;Адриатика;80×45×55 см;белый глянец;МДФ/керамика;с раковиной в комплекте;-;24800
Гостиная;Тумба под ТВ;Беверли;180×40×50 см;орех/латунь;шпон ореха/металл;ножки латунь;-;24500
Декор;Картина;-;100×70 см;-;холст/дерево;Тосканские холмы, багет дерево;-;5800
Кухня;Чехол для стула;Кьявари;-;белый/золото;сатин/ткань;для банкетного стула, с бантом;-;390
Спальня;Кровать;Меридиан;160×200 см;серый;велюр/ЛДСП;двуспальная, изголовье каретная стяжка;-;42600
Освещение;Светильник потолочный;Премиум;-;-;хрусталь/латунь;8 ламп E14;классика;28700
Спальня;Кровать-софа;Сириус;90×190 см;графитовая;рогожка/ЛДСП;подъёмный механизм;-;23700
Балкон;Стульчик складной;-;-;кофе;искусственный ротанг;для балкона;-;2800
Гостиная;Стенка-горка;Лион;320 см;ясень шимо/венге;ЛДСП/стекло/LED;модульная, подсветка;-;54600
Гостиная;Кресло гостевое;Барселона;-;сапфировый;бархат/дерево;с подлокотниками;-;19400
Гостиная;Сервант;Тоскана;140×45×180 см;состаренный белый;массив сосны;-;классика;42800
Кухня;Подставка-полка;Венеция;30×15×25 см;дуб артизан;ЛДСП/дерево;настольная, для специй;-;1700
Спальня;Шкаф-купе;Кёльн;200×60×220 см;дуб сонома;ЛДСП/зеркало;с зеркалом, 3-дверный;-;42800
Спальня;Кровать;Орхидея;160×200 см;венге;ЛДСП;подъёмный механизм;-;27500
Прихожая;Шкаф для обуви;Прихожая;60×30×120 см;белый;ЛДСП/МДФ;с откидными секциями;-;7800
Декор;Зеркало;Каприз;60×80 см;-;МДФ/стекло/кристаллы;art, волнистый контур, патина;-;22400
Спальня;Кровать;Кокон;120×200 см;серо-голубой;велюр/ЛДСП;полутораспальная;-;26800
Гостиная;Кресло-реклайнер;Глория;-;беж;рогожка/металл;с поворотной базой, механический;-;28700
Гостиная;Диван угловой;Прага;-;коричневая;экокожа/ЛДСП;с оттоманкой;-;57800
Декор;Зеркало;Солнце;D80 см;-;латунь/стекло;art, круглое, с лучами, дизайнерское;-;19700
Балкон;Шкаф;Альпина;60×50×180 см;белый;ЛДСП;балконный, 2 секции;-;9700
Кухня;Стол обеденный;Венеция;D110 см;-;массив бука;круглый;-;28700
Гостиная;Кресло;Бостон;-;графит;рогожка/дерево;с подлокотниками;-;13700
Гостиная;Банкетка;Альпы;80×35×45 см;серая;рогожка/бук;ножки бук;-;5700
Спальня;Кровать;Невада;160×200 см;орех;массив сосны;-;-;36700
Декор;Постер;Стокгольм;50×70 см;чёрно-белый;бумага/дерево;минимализм, в раме;-;1600
Гостиная;Диван-канапе;Тоскана;2-местный;натуральный;лён/дерево;ножки массив бука;-;42700
Ванная;Тумба под раковину;Сиена;90×45×55 см;белый матовый;МДФ/фурнитура;подвесная, soft-close;-;16800
Гостиная;Кресло клубное;Бостон Club;-;тёмно-зелёная;кожа честерфилд/дерево;low-back;-;78400
Спальня;Кровать-бокс;Балтика;160×200 см;серый;велюр/ЛДСП;пружинный блок независимый;-;54900
Спальня;Зеркало-трюмо;Тиффани;80×40×160 см;белый/цветной;МДФ/стекло;с витражной отделкой;-;28700
Гостиная;Диван прямой;Прованс;230×95 см;-;гобелен/дерево;классика, резные ножки, флористика;классика;87400
Гостиная;Кресло-кокон;Эгг;-;зелёный;велюр/металл;подвесное, chair на ножке;-;47800
Текстиль;Подушка декоративная;Шанхай;50×50 см;изумрудный;шёлк;с кистями, набор 2 шт;-;4500
Гостиная;Шкаф книжный;Прованс;80×80×220 см;белый с патиной;ЛДСП/МДФ;угловой;классика;47800
Гостиная;Сервант;Аделаида;130×45×180 см;ясень шимо светлый;ЛДСП/стекло;с подсветкой;классика;42600
Гостиная;Кресло-реклайнер;Атлант;-;коричневая;натуральная кожа/металл;электропривод, USB;-;112800
Гостиная;Витрина-горка;Палермо;80×80×220 см;дуб артизан/стекло;ЛДСП/стекло/LED;угловая, с подсветкой;-;68900
Спальня;Шкаф-купе;-;240×60×220 см;белый/чёрный венге;ЛДСП/зеркало;3-дверный, зеркало;-;42700
Хозтовары;Ящик поделочный;Лион;45×30×20 см;орех/золото;дерево;с инкрустацией;-;4400
Балкон;Стол складной;Патио;80×50 см;кофе;тик/металл;прямоугольный;-;5400
Ванная;Полка-этажерка;Сиена;60×25×80 см;-;бамбук/металл хром;в ванную, 3-ярусная;-;3900
Кухня;Стол обеденный;Прага;160×90 см;-;массив дуба/лак;раздвижной, тёмный лак;-;48700
Освещение;Бра;Сириус;-;чёрный/латунь;металл/LED;поворотное, с диммером;-;3900
Сад;Кресло-шезлонг;-;-;-;тик;садовое, складное, для террасы;-;18400
Гостиная;Диван-книжка;Эконом;2-местный;серая;рогожка/ЛДСП;прямой;эконом;15800
Текстиль;Подушка;Шанхай;60×60 см;чёрный/золото;шёлк;с вышивкой, дракон;-;3700
Спальня;Кровать;Прима;160×200 см;дуб сонома;ЛДСП;с ящиком, эконом;эконом;21400
Кухня;Домашний бар;Флоренция;60×40×120 см;орех/золото;дерево/стекло;компактный;классика;28700
Гостиная;Диван;Стокгольм;3-местный;белый/серый;экокожа/ткань/бук;ножки бук;скандинавский;39700
Текстиль;Плед;Шотландия;150×200 см;красно-зелёная;шерсть;клетка;классика;4200
Ванная;Тумба под умывальник;Орхидея;75×45×55 см;белый патина;МДФ/дерево;с одной дверцей;-;13800
Освещение;Светильник точечный;-;-;чёрный;металл/LED;GU10 поворотный, комплект 4 шт;-;1800
Кухня;Кухонный уголок;Берлин;130×80 см;бежевый;кожзам/ЛДСП;правый/левый;-;14800
